Section,ID,Tache,Owner,Effort,Statut,Validation
"Go / No-Go (bloquant publication stores)",G0-1,"Corriger firestore.rules : lecture messages limitée aux participants (pas isAuthenticated() seul)",TBD,S,false,"Règle publiée + test manuel : user B ne lit pas les messages de A"
"Go / No-Go (bloquant publication stores)",G0-2,"Aligner règles favorites + products.favoriteCount (batch) et déployer sur le bon projet Firebase",TBD,S,true,"Ajout/retrait favori OK en prod-like + pas d'erreur permissions"
"Go / No-Go (bloquant publication stores)",G0-3,"Retirer saisie PAN/CVV brute côté app ; PSP tokenisé ou désactiver flux paiement",TBD,XL,true,"Revue conformité + aucun secret carte en logs/state persistant"
"Go / No-Go (bloquant publication stores)",G0-4,"Secrets Firebase / clés hors repo ; EXPO_PUBLIC_* ou EAS Secrets par environnement",TBD,M,true,"Build preview sans clés en clair dans l'artefact"
"Go / No-Go (bloquant publication stores)",G0-5,"Politique confidentialité / CGU : même marque (RopaNova), contacts, pays, données collectées",TBD,M,false,"Écran légal relu + URL/contact valides"
"Go / No-Go (bloquant publication stores)",G0-6,"Profils EAS : eas.json (dev/preview/prod), versioning build, submit App Store / Play",TBD,M,false,"Build production + soumission test interne OK"
"Go / No-Go (bloquant publication stores)",G0-7,"Permissions Android/iOS : justifier chaque permission ; retirer legacy inutiles",TBD,S,false,"Fiche store + app.json alignés"
"Go / No-Go (bloquant publication stores)",G0-8,"Supprimer ou désactiver logs verbeux en prod (PII, payloads Firestore)",TBD,M,false,"Build prod : pas de console.log sensibles (ou wrapper niveau log)"
"Sécurité & données (P1)",S1-1,"Audit complet firestore.rules (lecture liste, sous-collections, document=**)",TBD,M,false,"Matrice rôles + scénarios abus documentés"
"Sécurité & données (P1)",S1-2,"Vérifier que tout doc products a userId (sinon favoris / règles cassent)",TBD,S,false,"Script ou requête admin + correctif données"
"Sécurité & données (P1)",S1-3,"RLS équivalent Storage (avatars, images produits) si utilisé",TBD,M,false,"Impossible de lire/écrire bucket d'un autre user"
"Sécurité & données (P1)",S1-4,"Auth : gestion session, reset password, compte supprimé",TBD,M,false,"Parcours testés + doc support"
"Qualité produit & fiabilité (P1)",P1-1,"Remplacer mocks exposés (commandes, adresses) par Firestore ou feature flag bientôt",TBD,L,false,"Aucun mock en chemin critique sans mention UX"
"Qualité produit & fiabilité (P1)",P1-2,"Messagerie : pagination réelle + états vide/erreur/retry",TBD,L,false,"Long thread + scroll + pas de fuite perf"
"Qualité produit & fiabilité (P1)",P1-3,"productService : pas de fallback mock silencieux en prod (erreur + retry)",TBD,S,false,"Mode avion : message clair utilisateur"
"Qualité produit & fiabilité (P1)",P1-4,"Parcours acheter : panier/checkout/statuts commande jusqu'à fin heureuse",TBD,XL,false,"Test E2E manuel documenté"
"Qualité produit & fiabilité (P1)",P1-5,"Notifications push (si prévu) ou retirer promesses UI",TBD,L,false,"Comportement cohérent avec stores"
"Observabilité & exploitation (P2)",O2-1,"Crash reporting (Sentry ou Firebase Crashlytics)",TBD,M,false,"Crash test remonté en staging"
"Observabilité & exploitation (P2)",O2-2,"Analytics événements clés (inscription, publier, favori, message, achat)",TBD,M,false,"Dashboard + respect consentement"
"Observabilité & exploitation (P2)",O2-3,"ErrorBoundary : erreurs remontées ou log structuré",TBD,S,false,"Erreur simulée visible côté tooling"
"CI / Qualité code (P2)",Q2-1,"CI : lint + tsc (ou équivalent) sur mobile-app",TBD,M,false,"PR bloquée si rouge"
"CI / Qualité code (P2)",Q2-2,"Tests unitaires services critiques (auth, produit, favoris)",TBD,L,false,"Couverture minimale définie"
"CI / Qualité code (P2)",Q2-3,"Refactor fichiers > ~800 lignes (Profile, Sell) par modules",TBD,XL,false,"Plan de découpe + 1er module extrait"
"Store & conformité (P1–P2)",ST-1,"Fiches App Store / Play : screenshots, description, âge, catégorie",TBD,M,false,"Brouillon validé"
"Store & conformité (P1–P2)",ST-2,"Data safety / privacy nutrition labels (collecte, partage)",TBD,M,false,"Formulaires stores remplis"
"Store & conformité (P1–P2)",ST-3,"Support utilisateur : email/chat + signalement / retrait contrefaçon",TBD,S,false,"Lien visible dans l'app"
"Accessibilité & i18n (P3)",A3-1,"Labels accessibilité boutons/icônes critiques",TBD,M,false,"VoiceOver/TalkBack sur parcours principal"
"Accessibilité & i18n (P3)",A3-2,"i18n (catalogue ES + stratégie langue)",TBD,XL,false,"Changement langue ou locale cohérent"
"Paiements — suite (post G0-3)",PAY-1,"Intégrer prestataire de paiement externe (PSP tokenisé : Stripe, Adyen, etc.) : cartes, recharge wallet, webhooks",TBD,XL,false,"Sandbox puis prod ; PCI hors app ; pas de PAN/CVV dans l'app"
Synthèse décision lancement,SYN-1,"Aucun P0 ouvert",TBD,-,false,"Oui/Non + notes"
Synthèse décision lancement,SYN-2,"Paiement conforme ou hors scope assumé",TBD,-,false,"Oui/Non + notes"
Synthèse décision lancement,SYN-3,"Règles Firestore validées en staging",TBD,-,false,"Oui/Non + notes"
Synthèse décision lancement,SYN-4,"Build store soumis en test interne",TBD,-,false,"Oui/Non + notes"
Synthèse décision lancement,SYN-5,"Playbook incident (crash, spam, abus)",TBD,-,false,"Oui/Non + notes"
Méta,META-1,"Date cible lancement (AAAA-MM-JJ)",TBD,-,false,
Méta,META-2,"Responsable Go/No-Go",TBD,-,false,
